team,week_start,region,breach_rate_pct
L1,2025-02-03,AMER,6.3
L1,2025-02-03,EMEA,21.1
L1,2025-02-03,APAC,22.2
L2,2025-02-03,AMER,17.1
L2,2025-02-03,EMEA,17
L2,2025-02-03,APAC,4
L3,2025-02-03,AMER,12.5
L3,2025-02-03,EMEA,18.2
L3,2025-02-03,APAC,14.8
L1,2025-02-10,AMER,17.6
L1,2025-02-10,EMEA,37.5
L1,2025-02-10,APAC,16.7
L2,2025-02-10,AMER,8.8
L2,2025-02-10,EMEA,20
L2,2025-02-10,APAC,32
L3,2025-02-10,AMER,17.2
L3,2025-02-10,EMEA,19.5
L3,2025-02-10,APAC,22
L1,2025-02-17,AMER,25
L1,2025-02-17,EMEA,18.8
L1,2025-02-17,APAC,33.3
L2,2025-02-17,AMER,17.3
L2,2025-02-17,EMEA,23.1
L2,2025-02-17,APAC,8.3
L3,2025-02-17,AMER,12.4
L3,2025-02-17,EMEA,21.7
L3,2025-02-17,APAC,11.1
L1,2025-02-24,AMER,22.2
L1,2025-02-24,EMEA,10
L1,2025-02-24,APAC,25
L2,2025-02-24,AMER,17.1
L2,2025-02-24,EMEA,14
L2,2025-02-24,APAC,13.6
L3,2025-02-24,AMER,27.8
L3,2025-02-24,EMEA,17.7
L3,2025-02-24,APAC,13
L1,2025-03-03,AMER,41.2
L1,2025-03-03,EMEA,25
L1,2025-03-03,APAC,0
L2,2025-03-03,AMER,9.9
L2,2025-03-03,EMEA,31.3
L2,2025-03-03,APAC,19
L3,2025-03-03,AMER,9.7
L3,2025-03-03,EMEA,20.3
L3,2025-03-03,APAC,10.3
L1,2025-03-10,AMER,12
L1,2025-03-10,EMEA,60
L1,2025-03-10,APAC,0
L2,2025-03-10,AMER,28.3
L2,2025-03-10,EMEA,30.6
L2,2025-03-10,APAC,18.5
L3,2025-03-10,AMER,24.6
L3,2025-03-10,EMEA,24.7
L3,2025-03-10,APAC,10.9
L1,2025-03-17,AMER,33.3
L1,2025-03-17,EMEA,37.5
L1,2025-03-17,APAC,16.7
L2,2025-03-17,AMER,11.1
L2,2025-03-17,EMEA,17.9
L2,2025-03-17,APAC,16.7
L3,2025-03-17,AMER,15.9
L3,2025-03-17,EMEA,31.1
L3,2025-03-17,APAC,15.4
L1,2025-03-24,AMER,12.5
