account_id,account_name,region,industry,contract_term_years,last_deal_year,renewal_quarter,arr_usd_current
A0001,Aurora Works,APAC,Healthcare,3,2022,2025-Q3,228000
A0002,BluePeak Logic,EMEA,Healthcare,3,2022,2025-Q2,989000
A0003,Granite Dynamics Inc,EMEA,Retail,3,2022,2025-Q2,331000
A0004,Northwind Works,AMER,Technology,3,2022,2025-Q2,36000
A0005,BluePeak Labs Inc,APAC,Technology,3,2022,2025-Q3,55000
A0006,Silverline Bridge,APAC,Healthcare,3,2022,2025-Q2,162000
A0007,Northwind Labs,EMEA,Healthcare,3,2022,2025-Q2,292000
A0008,BluePeak Dynamics,APAC,Technology,3,2022,2025-Q1,146000
A0009,BluePeak Dynamics Inc,EMEA,Retail,1,2025,2026-Q1,406000
A0010,Parallel Labs,EMEA,Professional Services,3,2022,2025-Q4,100000
A0011,Silverline Labs Inc,EMEA,Technology,3,2022,2025-Q4,842000
A0012,Northwind Cloud,AMER,Retail,3,2022,2025-Q3,0
A0013,Pinnacle Bridge Inc,APAC,Technology,3,2022,2025-Q3,1097000
A0014,Vertex Logic Inc,EMEA,Healthcare,3,2022,2025-Q4,521000
A0015,BluePeak Works,APAC,Professional Services,4,2021,2025-Q4,577000
A0016,Vertex Logic Inc,AMER,Retail,3,2022,2025-Q4,246000
A0017,Granite Grid Inc,EMEA,Retail,2,2024,2026-Q1,40000
A0018,Parallel Systems,APAC,Healthcare,3,2022,2025-Q2,146000
A0019,Silverline Cloud Inc,AMER,Technology,4,2021,2025-Q2,578000
A0020,Cobalt Bridge Inc,AMER,Professional Services,1,2024,2025-Q3,153000
A0021,Northwind Cloud,APAC,Professional Services,3,2022,2025-Q2,61000
A0022,Aurora Works Inc,AMER,Retail,3,2022,2025-Q4,355000
A0023,BluePeak Dynamics Inc,AMER,Healthcare,3,2023,2026-Q1,1343000
A0024,Pinnacle Grid Inc,AMER,Technology,3,2022,2025-Q4,126000
A0025,Cobalt Works,APAC,Manufacturing,3,2022,2025-Q2,109000
A0026,Meridian Dynamics,EMEA,Technology,3,2023,2026-Q1,374000
A0027,BluePeak Dynamics Inc,AMER,Retail,3,2022,2025-Q4,100000
A0028,Silverline Cloud Inc,AMER,Healthcare,5,2021,2026-Q1,27000
A0029,Pinnacle Systems,EMEA,Retail,5,2021,2026-Q1,615000
A0030,Meridian Works Inc,APAC,Technology,3,2022,2025-Q1,0
A0031,Meridian Works Inc,EMEA,Retail,3,2022,2025-Q2,65000
A0032,Cobalt Logic,EMEA,Professional Services,3,2023,2026-Q1,0
A0033,Granite Labs Inc,AMER,Technology,4,2022,2026-Q1,755000
A0034,Granite Grid,EMEA,Professional Services,3,2022,2025-Q2,1206000
A0035,Pinnacle Dynamics,APAC,Retail,3,2022,2025-Q3,162000
A0036,Parallel Cloud Inc,APAC,Financial Services,2,2023,2025-Q3,0
A0037,Northwind Labs,APAC,Professional Services,3,2022,2025-Q2,448000
A0038,Vertex Cloud Inc,AMER,Financial Services,3,2023,2026-Q1,28000
A0039,BluePeak Works,APAC,Retail,3,2023,2026-Q1,473000
A0040,Silverline Cloud,EMEA,Manufacturing,3,2022,2025-Q2,0
A0041,Vertex Dynamics Inc,AMER,Technology,4,2021,2025-Q2,117000
A0042,Pinnacle Logic,EMEA,Financial Services,3,2022,2025-Q4,63000
A0043,Silverline Grid Inc,APAC,Manufacturing,3,2022,2025-Q3,213000
A0044,Northwind Bridge Inc,EMEA,Healthcare,3,2022,2025-Q4,362000
A0045,Pinnacle Labs,APAC,Technology,4,2021,2025-Q4,823000
A0046,Pinnacle Bridge,AMER,Financial Services,3,2023,2026-Q1,36000
A0047,Northwind Dynamics,APAC,Technology,3,2022,2025-Q4,0
A0048,Northwind Works Inc,AMER,Retail,3,2022,2025-Q1,495000
A0049,BluePeak Grid,AMER,Technology,5,2021,2026-Q1,1198000
A0050,Parallel Cloud,APAC,Healthcare,1,2025,2026-Q1,238000
A0051,Granite Logic,EMEA,Technology,3,2022,2025-Q1,1241000
A0052,Parallel Bridge Inc,EMEA,Retail,3,2022,2025-Q2,625000
A0053,Cobalt Grid Inc,APAC,Manufacturing,1,2024,2025-Q1,176000
A0054,Pinnacle Bridge,APAC,Retail,3,2023,2026-Q1,45000
A0055,BluePeak Grid,AMER,Technology,3,2022,2025-Q4,361000
A0056,Granite Cloud Inc,APAC,Professional Services,3,2022,2025-Q1,322000
A0057,Vertex Labs,APAC,Retail,3,2023,2026-Q1,411000
A0058,Vertex Logic,EMEA,Financial Services,3,2022,2025-Q1,79000
A0059,Northwind Labs Inc,APAC,Professional Services,1,2025,2026-Q1,309000
A0060,Northwind Labs Inc,APAC,Healthcare,3,2022,2025-Q3,1221000
A0061,Aurora Grid,EMEA,Financial Services,3,2022,2025-Q2,266000
A0062,BluePeak Works Inc,AMER,Retail,3,2023,2026-Q1,367000
A0063,Vertex Logic Inc,APAC,Retail,5,2020,2025-Q3,474000
A0064,Silverline Labs Inc,EMEA,Healthcare,3,2022,2025-Q3,188000
A0065,Parallel Logic,EMEA,Technology,3,2022,2025-Q4,28000
A0066,Granite Bridge Inc,AMER,Retail,3,2022,2025-Q4,315000
A0067,Silverline Labs,EMEA,Professional Services,4,2021,2025-Q3,437000
A0068,Vertex Grid Inc,AMER,Technology,3,2022,2025-Q3,371000
A0069,BluePeak Bridge Inc,AMER,Technology,3,2022,2025-Q4,313000
A0070,Pinnacle Systems,EMEA,Retail,3,2022,2025-Q3,63000
A0071,Parallel Logic Inc,AMER,Healthcare,3,2022,2025-Q4,324000
A0072,Granite Dynamics,EMEA,Healthcare,1,2024,2025-Q3,277000
A0073,Pinnacle Systems,AMER,Financial Services,3,2022,2025-Q4,1150000
A0074,BluePeak Works,EMEA,Manufacturing,3,2022,2025-Q1,844000
A0075,Silverline Grid,EMEA,Healthcare,5,2021,2026-Q1,206000
A0076,Granite Works,AMER,Manufacturing,3,2022,2025-Q4,0
A0077,Meridian Dynamics,AMER,Technology,3,2022,2025-Q4,31000
A0078,Aurora Labs,APAC,Technology,3,2022,2025-Q1,466000
A0079,Northwind Logic,EMEA,Technology,3,2023,2026-Q1,380000
A0080,Vertex Logic Inc,APAC,Financial Services,3,2022,2025-Q4,471000
A0081,Silverline Dynamics,APAC,Healthcare,3,2023,2026-Q1,258000
A0082,Parallel Works Inc,EMEA,Manufacturing,3,2022,2025-Q2,173000
A0083,Vertex Bridge Inc,APAC,Technology,3,2022,2025-Q3,508000
A0084,Meridian Works Inc,APAC,Financial Services,3,2023,2026-Q1,197000
A0085,Vertex Cloud,EMEA,Professional Services,2,2024,2026-Q1,585000
A0086,Parallel Grid,APAC,Professional Services,3,2022,2025-Q1,402000
A0087,Silverline Labs,AMER,Manufacturing,3,2022,2025-Q3,440000
A0088,Aurora Bridge Inc,APAC,Manufacturing,1,2024,2025-Q4,1212000
A0089,Aurora Dynamics Inc,EMEA,Retail,4,2021,2025-Q3,0
A0090,Silverline Systems,EMEA,Technology,5,2020,2025-Q3,1537000
A0091,Vertex Bridge,AMER,Retail,3,2022,2025-Q4,444000
A0092,BluePeak Logic,EMEA,Manufacturing,3,2022,2025-Q1,414000
A0093,Aurora Dynamics,EMEA,Professional Services,3,2022,2025-Q3,79000
A0094,Pinnacle Labs,APAC,Manufacturing,3,2023,2026-Q1,482000
A0095,Meridian Works,AMER,Professional Services,3,2022,2025-Q3,68000
A0096,Aurora Cloud,EMEA,Technology,3,2022,2025-Q3,949000
A0097,Granite Labs Inc,AMER,Professional Services,1,2025,2026-Q1,37000
A0098,Northwind Logic Inc,APAC,Technology,2,2023,2025-Q2,0
A0099,Vertex Bridge Inc,AMER,Retail,3,2022,2025-Q2,367000
A0100,Northwind Cloud,APAC,Technology,3,2022,2025-Q2,289000
A0101,Pinnacle Works,AMER,Financial Services,3,2023,2026-Q1,802000
A0102,Granite Dynamics,APAC,Manufacturing,3,2022,2025-Q1,259000
A0103,Cobalt Cloud,APAC,Retail,3,2023,2026-Q1,127000
A0104,Parallel Logic,AMER,Financial Services,3,2022,2025-Q2,101000
A0105,Parallel Logic,AMER,Technology,4,2022,2026-Q1,286000
A0106,Parallel Dynamics,AMER,Professional Services,3,2022,2025-Q4,97000
A0107,Pinnacle Works Inc,AMER,Professional Services,3,2023,2026-Q1,359000
A0108,Cobalt Logic Inc,EMEA,Healthcare,3,2023,2026-Q1,0
A0109,Meridian Cloud,APAC,Technology,3,2022,2025-Q3,940000
A0110,Vertex Cloud,EMEA,Technology,3,2022,2025-Q3,709000
A0111,Vertex Systems Inc,APAC,Manufacturing,3,2022,2025-Q1,181000
A0112,Northwind Systems,AMER,Financial Services,1,2025,2026-Q1,334000
A0113,Aurora Systems,AMER,Healthcare,3,2022,2025-Q3,362000
A0114,Cobalt Dynamics,EMEA,Retail,5,2020,2025-Q3,31000
A0115,Silverline Dynamics,APAC,Professional Services,3,2023,2026-Q1,374000
A0116,Silverline Cloud,APAC,Professional Services,3,2022,2025-Q3,154000
A0117,Cobalt Systems,EMEA,Healthcare,3,2023,2026-Q1,0
A0118,Meridian Labs,EMEA,Technology,3,2023,2026-Q1,582000
A0119,Pinnacle Cloud,APAC,Professional Services,3,2022,2025-Q1,31000
A0120,BluePeak Grid Inc,APAC,Technology,3,2022,2025-Q3,158000
A0121,Cobalt Dynamics Inc,EMEA,Professional Services,3,2022,2025-Q3,589000
A0122,BluePeak Logic,EMEA,Retail,3,2022,2025-Q2,490000
A0123,Vertex Grid Inc,EMEA,Financial Services,4,2022,2026-Q1,71000
A0124,Northwind Labs Inc,APAC,Technology,3,2022,2025-Q2,172000
A0125,Cobalt Grid,EMEA,Manufacturing,3,2022,2025-Q4,801000
