ticket_id,priority,product,region,resolution_hours
T000001,P3,Analytics Pro,EMEA,20
T000002,P3,Core Suite,AMER,35.9
T000003,P3,Automation Edge,AMER,39.6
T000004,P3,Analytics Pro,APAC,22.8
T000005,P3,Automation Edge,EMEA,31.3
T000006,P3,Analytics Pro,AMER,18.5
T000007,P2,Analytics Pro,AMER,13.1
T000008,P3,Analytics Pro,AMER,40.8
T000009,P3,Core Suite,AMER,27.9
T000010,P3,Analytics Pro,AMER,27.8
T000011,P3,Automation Edge,AMER,34.7
T000012,P3,Core Suite,AMER,35.3
T000013,P2,Core Suite,APAC,20.4
T000014,P3,Core Suite,AMER,36.9
T000015,P2,Analytics Pro,EMEA,28.3
T000016,P2,Analytics Pro,AMER,11
T000017,P3,Analytics Pro,AMER,45.1
T000018,P3,Core Suite,EMEA,37.7
T000019,P3,Analytics Pro,AMER,50.5
T000020,P3,Automation Edge,EMEA,27.9
T000021,P3,Core Suite,AMER,50.5
T000022,P3,Core Suite,APAC,24.2
T000023,P2,Core Suite,AMER,15.8
T000024,P3,Core Suite,APAC,36.3
T000025,P3,Analytics Pro,AMER,33.8
T000026,P2,Analytics Pro,AMER,15.7
T000027,P2,Analytics Pro,APAC,25.3
T000028,P2,Analytics Pro,EMEA,10.1
T000029,P2,Core Suite,APAC,12
T000030,P2,Core Suite,EMEA,20.9
T000031,P2,Core Suite,AMER,13.9
T000032,P3,Analytics Pro,EMEA,47.8
T000033,P3,Core Suite,APAC,36.9
T000034,P1,Automation Edge,AMER,8.9
T000035,P3,Core Suite,EMEA,26
T000036,P2,Analytics Pro,EMEA,26.2
T000037,P3,Core Suite,AMER,49.9
T000038,P2,Core Suite,AMER,18
T000039,P3,Automation Edge,APAC,30.5
T000040,P3,Automation Edge,AMER,29
T000041,P3,Analytics Pro,AMER,53
T000042,P2,Core Suite,AMER,17.8
T000043,P3,Analytics Pro,AMER,41.3
T000044,P3,Core Suite,AMER,32
T000045,P3,Automation Edge,EMEA,43.2
T000046,P1,Automation Edge,APAC,8.9
T000047,P3,Analytics Pro,EMEA,22
T000048,P2,Automation Edge,APAC,24.7
T000049,P3,Core Suite,EMEA,54.7
T000050,P2,Automation Edge,AMER,15.9
T000051,P2,Core Suite,AMER,10.7
T000052,P2,Automation Edge,APAC,11.2
T000053,P2,Core Suite,AMER,13.3
T000054,P1,Core Suite,EMEA,8.8
T000055,P3,Core Suite,EMEA,39.1
T000056,P2,Core Suite,APAC,15.9
T000057,P3,Analytics Pro,APAC,44.4
T000058,P3,Automation Edge,AMER,30.9
T000059,P3,Analytics Pro,EMEA,56.4
T000060,P1,Core Suite,APAC,5.8
T000061,P2,Core Suite,EMEA,12.4
T000062,P2,Core Suite,EMEA,13.8
T000063,P3,Automation Edge,APAC,35.7
T000064,P3,Automation Edge,EMEA,52.1
T000065,P2,Automation Edge,APAC,14.7
T000066,P2,Analytics Pro,AMER,23.1
T000067,P3,Analytics Pro,APAC,49.8
T000068,P3,Automation Edge,AMER,25
T000069,P3,Automation Edge,AMER,27.8
T000070,P2,Analytics Pro,AMER,12.9
T000071,P1,Analytics Pro,AMER,7.7
T000072,P3,Automation Edge,AMER,52.4
T000073,P3,Automation Edge,AMER,24.4
T000074,P3,Core Suite,AMER,50
T000075,P3,Core Suite,AMER,26.4
T000076,P3,Analytics Pro,AMER,53.6
T000077,P2,Core Suite,AMER,19.3
T000078,P3,Automation Edge,AMER,32.5
T000079,P3,Analytics Pro,AMER,28.7
T000080,P3,Automation Edge,AMER,22.7
T000081,P3,Analytics Pro,APAC,44.7
T000082,P3,Analytics Pro,APAC,53.3
T000083,P3,Analytics Pro,APAC,48.5
T000084,P3,Core Suite,AMER,22.9
T000085,P3,Core Suite,AMER,50.6
T000086,P3,Analytics Pro,AMER,31.6
T000087,P3,Analytics Pro,APAC,48.2
T000088,P3,Analytics Pro,AMER,32.7
T000089,P2,Analytics Pro,AMER,11.4
T000090,P3,Analytics Pro,AMER,24
T000091,P3,Core Suite,AMER,29.4
T000092,P3,Core Suite,AMER,47.8
T000093,P1,Analytics Pro,AMER,5.4
T000094,P2,Core Suite,APAC,17.4
T000095,P2,Analytics Pro,AMER,17.8
T000096,P3,Core Suite,APAC,35.6
T000097,P2,Analytics Pro,EMEA,27.7
