contact_id,account_id,account_name,role,region
C000001,A00706,Parallel Logic Inc,VP Operations,EMEA
C000002,A00706,Parallel Logic Inc,VP Engineering,EMEA
C000003,A00706,Parallel Logic Inc,Solutions Architect,EMEA
C000004,A00706,Parallel Logic Inc,Head of Procurement,EMEA
C000005,A00706,Parallel Logic Inc,VP Engineering,EMEA
C000006,A00759,Northwind Works Inc,IT Director,EMEA
C000007,A00759,Northwind Works Inc,Head of Procurement,EMEA
C000008,A00759,Northwind Works Inc,VP Operations,EMEA
C000009,A00759,Northwind Works Inc,Head of Procurement,EMEA
C000010,A00143,Parallel Dynamics,VP Operations,AMER
C000011,A00143,Parallel Dynamics,Solutions Architect,AMER
C000012,A00143,Parallel Dynamics,VP Operations,AMER
C000013,A01977,Meridian Grid Inc,Solutions Architect,APAC
C000014,A01977,Meridian Grid Inc,IT Director,APAC
C000015,A01977,Meridian Grid Inc,IT Director,APAC
C000016,A01589,BluePeak Systems Inc,IT Director,EMEA
C000017,A01589,BluePeak Systems Inc,IT Director,EMEA
C000018,A01589,BluePeak Systems Inc,IT Director,EMEA
C000019,A00612,Northwind Systems Inc,CFO,EMEA
C000020,A00612,Northwind Systems Inc,Head of Procurement,EMEA
C000021,A00999,Meridian Stream,Head of Procurement,APAC
C000022,A00999,Meridian Stream,VP Operations,APAC
C000023,A00999,Meridian Stream,Solutions Architect,APAC
C000024,A00999,Meridian Stream,Head of Procurement,APAC
C000025,A00999,Meridian Stream,Head of Procurement,APAC
C000026,A00207,Northwind Labs Inc,IT Director,APAC
C000027,A00207,Northwind Labs Inc,Head of Procurement,APAC
C000028,A00207,Northwind Labs Inc,VP Operations,APAC
C000029,A00207,Northwind Labs Inc,Head of Procurement,APAC
C000030,A01347,Silverline Point Ltd,IT Director,AMER
C000031,A01347,Silverline Point Ltd,Head of Procurement,AMER
C000032,A01758,Silverline Works,Solutions Architect,EMEA
C000033,A01758,Silverline Works,Head of Procurement,EMEA
C000034,A01758,Silverline Works,CFO,EMEA
C000035,A01369,Parallel Dynamics,IT Director,AMER
C000036,A01369,Parallel Dynamics,VP Engineering,AMER
C000037,A00370,Granite Cloud Ltd,VP Operations,EMEA
C000038,A00370,Granite Cloud Ltd,Solutions Architect,EMEA
C000039,A00370,Granite Cloud Ltd,Solutions Architect,EMEA
C000040,A00798,Granite Cloud,Head of Procurement,AMER
C000041,A00798,Granite Cloud,Head of Procurement,AMER
C000042,A00798,Granite Cloud,VP Operations,AMER
C000043,A00798,Granite Cloud,CFO,AMER
C000044,A00798,Granite Cloud,Solutions Architect,AMER
C000045,A01709,Vertex Labs,IT Director,EMEA
C000046,A01709,Vertex Labs,Head of Procurement,EMEA
C000047,A01304,Parallel Point Ltd,VP Engineering,AMER
C000048,A01304,Parallel Point Ltd,VP Operations,AMER
C000049,A01304,Parallel Point Ltd,CFO,AMER
C000050,A01304,Parallel Point Ltd,VP Engineering,AMER
C000051,A01304,Parallel Point Ltd,Solutions Architect,AMER
C000052,A01957,Pinnacle Cloud,VP Operations,AMER
C000053,A01957,Pinnacle Cloud,Solutions Architect,AMER
C000054,A01957,Pinnacle Cloud,Solutions Architect,AMER
C000055,A01715,Parallel Bridge Ltd,VP Operations,AMER
C000056,A01715,Parallel Bridge Ltd,CFO,AMER
C000057,A01715,Parallel Bridge Ltd,IT Director,AMER
C000058,A01715,Parallel Bridge Ltd,VP Engineering,AMER
C000059,A01715,Parallel Bridge Ltd,Solutions Architect,AMER
C000060,A00834,Meridian Labs,VP Engineering,EMEA
C000061,A00834,Meridian Labs,VP Operations,EMEA
C000062,A00875,Granite Logic Ltd,VP Operations,AMER
C000063,A00875,Granite Logic Ltd,VP Engineering,AMER
C000064,A00875,Granite Logic Ltd,Solutions Architect,AMER
C000065,A01639,Aurora Grid Inc,VP Engineering,AMER
C000066,A01639,Aurora Grid Inc,IT Director,AMER
C000067,A01639,Aurora Grid Inc,VP Engineering,AMER
C000068,A01741,Meridian Grid,IT Director,APAC
C000069,A01741,Meridian Grid,VP Operations,APAC
C000070,A01741,Meridian Grid,IT Director,APAC
C000071,A01741,Meridian Grid,CFO,APAC
C000072,A01741,Meridian Grid,CFO,APAC
C000073,A01565,Silverline Works,CFO,AMER
C000074,A01565,Silverline Works,IT Director,AMER
C000075,A01913,Cobalt Point,Head of Procurement,EMEA
C000076,A01913,Cobalt Point,IT Director,EMEA
C000077,A01913,Cobalt Point,VP Engineering,EMEA
C000078,A01913,Cobalt Point,VP Operations,EMEA
C000079,A01413,Silverline Works Ltd,Solutions Architect,APAC
C000080,A01413,Silverline Works Ltd,CFO,APAC
C000081,A01804,Pinnacle Works Ltd,CFO,AMER
C000082,A01804,Pinnacle Works Ltd,VP Engineering,AMER
C000083,A01804,Pinnacle Works Ltd,IT Director,AMER
C000084,A01804,Pinnacle Works Ltd,CFO,AMER
C000085,A01804,Pinnacle Works Ltd,VP Operations,AMER
C000086,A01498,Granite Grid,VP Engineering,AMER
C000087,A01498,Granite Grid,VP Operations,AMER
C000088,A01498,Granite Grid,CFO,AMER
C000089,A01498,Granite Grid,IT Director,AMER
C000090,A01498,Granite Grid,CFO,AMER
C000091,A00349,Northwind Stream,VP Operations,EMEA
C000092,A00349,Northwind Stream,VP Operations,EMEA
C000093,A01958,Cobalt Bridge,VP Operations,APAC
C000094,A01958,Cobalt Bridge,VP Engineering,APAC
C000095,A01593,Parallel Labs,IT Director,AMER
C000096,A01593,Parallel Labs,Head of Procurement,AMER
C000097,A01593,Parallel Labs,IT Director,AMER
C000098,A01044,Aurora Labs Inc,Head of Procurement,AMER
C000099,A01044,Aurora Labs Inc,CFO,AMER
C000100,A01044,Aurora Labs Inc,VP Engineering,AMER
C000101,A01044,Aurora Labs Inc,IT Director,AMER
C000102,A01044,Aurora Labs Inc,IT Director,AMER
C000103,A01857,Aurora Dynamics Inc,Head of Procurement,AMER
C000104,A01857,Aurora Dynamics Inc,IT Director,AMER
C000105,A01906,Northwind Logic Ltd,VP Engineering,EMEA
C000106,A01906,Northwind Logic Ltd,VP Engineering,EMEA
C000107,A00477,Cobalt Stream Ltd,VP Engineering,AMER
C000108,A00477,Cobalt Stream Ltd,IT Director,AMER
C000109,A00477,Cobalt Stream Ltd,IT Director,AMER
C000110,A01117,Northwind Works Ltd,CFO,AMER
C000111,A01117,Northwind Works Ltd,Solutions Architect,AMER
C000112,A01117,Northwind Works Ltd,Solutions Architect,AMER
C000113,A01117,Northwind Works Ltd,Head of Procurement,AMER
C000114,A01853,Meridian Systems Inc,Solutions Architect,AMER
C000115,A01853,Meridian Systems Inc,Solutions Architect,AMER
C000116,A01853,Meridian Systems Inc,VP Engineering,AMER
C000117,A01853,Meridian Systems Inc,IT Director,AMER
C000118,A01226,Vertex Works Ltd,VP Engineering,AMER
C000119,A01226,Vertex Works Ltd,Head of Procurement,AMER
