account_id,account_name,logo_acquisition_year,fiscal_quarter,created_date,close_date,region,account_vertical,product_line,deal_type,outcome,contract_term_years,acv_usd,tcv_usd,deal_source,discount_pct,primary_loss_reason
A0342,Silverline Grid Inc,2022,2025-Q1,2024-11-28,2025-03-25,AMER,Technology,Analytics,renew,won,3,134000,402000,csm_expansion,40.7,
A0268,Silverline Cloud,2022,2025-Q1,2024-07-01,2025-02-10,AMER,Technology,Security,renew,won,3,63000,189000,sales_outbound,57.1,
A0618,Cobalt Systems,2023,2025-Q1,2024-09-04,2025-03-29,EMEA,Financial Services,Platform,renew,won,2,270000,540000,partner,49.1,
A0557,Silverline Dynamics Inc,2022,2025-Q1,2024-05-28,2025-02-05,AMER,Financial Services,Security,renew,won,3,153000,459000,sales_outbound,60,
A0575,BluePeak Labs Inc,2022,2025-Q1,2024-06-07,2025-02-13,APAC,Healthcare,Platform,renew,won,3,226000,678000,csm_expansion,64.8,
A0566,BluePeak Dynamics,2022,2025-Q1,2024-11-01,2025-02-07,EMEA,Professional Services,Security,renew,won,3,358000,1074000,inbound,49.3,
A0320,Meridian Works Inc,2022,2025-Q1,2024-09-02,2025-02-24,APAC,Financial Services,Platform,renew,won,3,218000,654000,sales_outbound,50.1,
A0571,Aurora Cloud,2022,2025-Q1,2024-09-16,2025-01-10,APAC,Technology,Security,renew,lost,3,61000,183000,inbound,59.8,Procurement — vendor consolidation
A0051,Granite Logic,2022,2025-Q1,2024-06-21,2025-01-03,EMEA,Technology,Analytics,renew,won,3,411000,1233000,inbound,71.2,
A0531,Granite Labs Inc,2022,2025-Q1,2024-09-15,2025-01-26,AMER,Professional Services,Analytics,renew,won,3,131000,393000,csm_expansion,46.2,
A0626,Meridian Labs,2022,2025-Q1,2024-07-14,2025-02-26,APAC,Technology,Analytics,renew,won,3,62000,186000,csm_expansion,40.6,
A0161,Aurora Cloud,2020,2025-Q1,2024-07-08,2025-02-02,APAC,Manufacturing,Analytics,renew,won,5,278000,1390000,csm_expansion,40.7,
A0240,Parallel Labs Inc,2022,2025-Q1,2024-09-12,2025-03-20,AMER,Healthcare,Security,renew,won,3,29000,87000,partner,29.8,
A0169,Vertex Works,2022,2025-Q1,2024-11-17,2025-03-29,AMER,Retail,Platform,renew,won,3,334000,1002000,inbound,54.2,
A0131,Silverline Systems,2022,2025-Q1,2024-06-28,2025-01-09,APAC,Professional Services,Analytics,renew,won,3,225000,675000,sales_outbound,49.4,
A0463,Pinnacle Works,2022,2025-Q1,2024-05-23,2025-01-03,AMER,Retail,Platform,renew,won,3,120000,360000,inbound,52.6,
A0163,Silverline Bridge Inc,2021,2025-Q1,2024-10-17,2025-03-20,EMEA,Professional Services,Security,renew,won,4,82000,328000,sales_outbound,31.8,
A0490,Vertex Bridge Inc,2022,2025-Q1,2024-07-21,2025-01-17,AMER,Manufacturing,Analytics,renew,won,3,77000,231000,sales_outbound,65.3,
A0420,Granite Systems,2022,2025-Q1,2024-09-02,2025-02-05,AMER,Manufacturing,Security,renew,won,3,84000,252000,sales_outbound,41.7,
A0468,Parallel Dynamics,2022,2025-Q1,2024-09-22,2025-03-01,AMER,Technology,Platform,renew,won,3,89000,267000,inbound,32.8,
A0248,Aurora Bridge,2022,2025-Q1,2024-09-14,2025-03-02,EMEA,Professional Services,Analytics,renew,won,3,28000,84000,inbound,40.5,
A0442,Granite Dynamics,2022,2025-Q1,2024-08-04,2025-03-16,EMEA,Retail,Security,renew,won,3,150000,450000,sales_outbound,46.7,
A0048,Northwind Works Inc,2022,2025-Q1,2024-09-11,2025-02-06,AMER,Retail,Analytics,renew,won,3,251000,753000,sales_outbound,38.6,
A0623,Cobalt Works Inc,2022,2025-Q1,2024-09-30,2025-03-07,EMEA,Healthcare,Security,renew,won,3,187000,561000,inbound,58.8,
A0218,Granite Cloud Inc,2021,2025-Q1,2024-08-16,2025-02-19,AMER,Manufacturing,Platform,renew,won,4,486000,1944000,csm_expansion,30.9,
A0191,Parallel Grid Inc,2022,2025-Q1,2024-09-13,2025-02-12,EMEA,Healthcare,Security,renew,won,3,95000,285000,sales_outbound,60.3,
A0129,Vertex Works Inc,2022,2025-Q1,2024-10-03,2025-02-08,EMEA,Financial Services,Platform,renew,won,3,81000,243000,sales_outbound,58,
A0491,Aurora Grid,2022,2025-Q1,2024-08-15,2025-02-05,EMEA,Technology,Analytics,renew,won,3,92000,276000,inbound,40.5,
A0527,Aurora Works,2022,2025-Q1,2024-07-01,2025-02-06,APAC,Manufacturing,Security,renew,won,3,49000,147000,inbound,64.1,
A0590,Pinnacle Labs,2024,2025-Q1,2024-07-26,2025-01-31,APAC,Healthcare,Platform,renew,won,1,14000,14000,csm_expansion,66.1,
A0196,Vertex Cloud Inc,2022,2025-Q1,2024-08-27,2025-03-21,AMER,Healthcare,Security,renew,won,3,46000,138000,inbound,53.3,
A0130,Vertex Works Inc,2022,2025-Q1,2024-06-08,2025-01-23,APAC,Retail,Security,renew,won,3,91000,273000,inbound,77.3,
A0294,Meridian Bridge Inc,2022,2025-Q1,2024-10-16,2025-03-29,APAC,Professional Services,Security,renew,won,3,575000,1725000,csm_expansion,65,
A0184,Meridian Cloud Inc,2022,2025-Q1,2024-10-14,2025-03-05,AMER,Healthcare,Security,renew,won,3,258000,774000,sales_outbound,44.5,
A0074,BluePeak Works,2022,2025-Q1,2024-08-13,2025-01-05,EMEA,Manufacturing,Platform,renew,won,3,176000,528000,sales_outbound,31.8,
A0574,BluePeak Works Inc,2020,2025-Q1,2024-05-28,2025-01-09,EMEA,Retail,Analytics,renew,won,5,36000,180000,inbound,55,
A0119,Pinnacle Cloud,2022,2025-Q1,2024-08-27,2025-02-10,APAC,Professional Services,Analytics,renew,lost,3,16000,48000,sales_outbound,63.3,Risk — security or compliance
A0201,BluePeak Dynamics Inc,2022,2025-Q1,2024-06-11,2025-02-05,AMER,Retail,Platform,renew,won,3,13000,39000,csm_expansion,52.5,
A0140,Northwind Grid,2022,2025-Q1,2024-07-31,2025-01-25,EMEA,Manufacturing,Platform,renew,won,3,326000,978000,inbound,32.5,
A0594,Granite Labs Inc,2022,2025-Q1,2024-11-10,2025-02-21,EMEA,Technology,Analytics,renew,won,3,299000,897000,partner,56.6,
A0086,Parallel Grid,2022,2025-Q1,2024-06-20,2025-02-13,APAC,Professional Services,Security,renew,won,3,195000,585000,sales_outbound,31.5,
A0053,Cobalt Grid Inc,2024,2025-Q1,2024-08-08,2025-03-17,APAC,Manufacturing,Security,renew,won,1,83000,83000,sales_outbound,55.8,
A0526,Cobalt Grid,2022,2025-Q1,2024-07-16,2025-01-16,EMEA,Manufacturing,Security,renew,won,3,85000,255000,sales_outbound,35.5,
A0192,BluePeak Dynamics,2021,2025-Q1,2024-09-28,2025-01-18,EMEA,Manufacturing,Security,renew,won,4,365000,1460000,sales_outbound,49.2,
A0565,Granite Dynamics Inc,2024,2025-Q1,2024-07-17,2025-01-05,AMER,Healthcare,Analytics,renew,won,1,18000,18000,csm_expansion,53.8,
A0136,Cobalt Labs Inc,2022,2025-Q1,2024-09-26,2025-01-25,APAC,Professional Services,Analytics,renew,won,3,112000,336000,inbound,40.1,
A0056,Granite Cloud Inc,2022,2025-Q1,2024-10-15,2025-01-26,APAC,Professional Services,Platform,renew,won,3,171000,513000,sales_outbound,61.3,
A0175,Silverline Dynamics,2022,2025-Q1,2024-08-09,2025-01-27,APAC,Retail,Platform,renew,won,3,500000,1500000,sales_outbound,65.6,
A0297,Silverline Works Inc,2022,2025-Q1,2024-07-04,2025-02-03,APAC,Healthcare,Security,renew,won,3,38000,114000,inbound,48.1,
A0577,BluePeak Dynamics,2022,2025-Q1,2024-08-15,2025-02-17,EMEA,Retail,Security,renew,won,3,398000,1194000,inbound,79.4,
A0009,BluePeak Dynamics Inc,2025,2025-Q1,2024-09-13,2025-03-09,EMEA,Retail,Analytics,expand,won,1,43000,43000,csm_expansion,60.9,
A0050,Parallel Cloud,2025,2025-Q1,2024-10-09,2025-02-20,APAC,Healthcare,Security,expand,won,1,52000,52000,inbound,40.4,
A0059,Northwind Labs Inc,2025,2025-Q1,2024-08-28,2025-01-22,APAC,Professional Services,Security,expand,won,1,13000,13000,sales_outbound,45.7,
A0097,Granite Labs Inc,2025,2025-Q1,2024-05-07,2025-01-12,AMER,Professional Services,Analytics,expand,won,1,20000,20000,csm_expansion,29.2,
A0112,Northwind Systems,2025,2025-Q1,2024-07-10,2025-01-11,AMER,Financial Services,Platform,expand,won,1,102000,102000,csm_expansion,71.6,
A0152,Meridian Cloud,2025,2025-Q1,2024-11-25,2025-02-10,EMEA,Manufacturing,Platform,expand,won,1,115000,115000,partner,60.4,
A0203,Silverline Systems,2025,2025-Q1,2024-07-25,2025-01-26,AMER,Technology,Security,expand,won,1,20000,20000,sales_outbound,83.8,
A0274,Granite Works,2025,2025-Q1,2024-11-24,2025-03-23,EMEA,Retail,Security,expand,won,1,20000,20000,sales_outbound,45,
A0282,Vertex Works Inc,2025,2025-Q1,2024-09-03,2025-01-30,APAC,Financial Services,Security,expand,won,1,54000,54000,sales_outbound,30.9,
A0504,Aurora Bridge Inc,2025,2025-Q1,2024-08-16,2025-03-21,EMEA,Retail,Security,expand,won,1,38000,38000,sales_outbound,46.9,
A0524,Cobalt Dynamics Inc,2025,2025-Q1,2024-08-12,2025-02-24,EMEA,Technology,Analytics,expand,won,1,55000,55000,csm_expansion,53.2,
A0601,Aurora Bridge,2025,2025-Q1,2024-07-21,2025-03-17,AMER,Technology,Analytics,expand,won,1,227000,227000,sales_outbound,40.4,
A0276,Cobalt Grid,2022,2025-Q1,2024-10-08,2025-03-25,EMEA,Manufacturing,Analytics,expand,won,3,95000,285000,partner,35.7,
A0336,Vertex Dynamics Inc,2022,2025-Q1,2024-07-29,2025-01-12,AMER,Technology,Analytics,expand,won,3,122000,366000,sales_outbound,24.8,
A0263,Pinnacle Cloud,2023,2025-Q1,2024-11-07,2025-02-26,APAC,Financial Services,Platform,expand,won,3,294000,882000,sales_outbound,44.7,
A0059,Northwind Labs Inc,2025,2025-Q1,2024-10-12,2025-02-15,APAC,Professional Services,Security,expand,won,1,16000,16000,inbound,31,
A0007,Northwind Labs,2022,2025-Q1,2024-11-10,2025-02-10,EMEA,Healthcare,Security,expand,won,3,19000,57000,csm_expansion,55,
A0436,Granite Systems Inc,2022,2025-Q1,2024-09-21,2025-03-23,AMER,Financial Services,Analytics,expand,won,3,35000,105000,inbound,33.5,
A0489,Parallel Dynamics Inc,2022,2025-Q1,2024-08-16,2025-02-06,EMEA,Financial Services,Platform,expand,won,3,22000,66000,sales_outbound,72.2,
A0095,Meridian Works,2022,2025-Q1,2024-09-10,2025-03-03,AMER,Professional Services,Security,expand,won,3,28000,84000,sales_outbound,83.9,
A0118,Meridian Labs,2023,2025-Q1,2024-07-24,2025-03-16,EMEA,Technology,Platform,expand,won,3,41000,123000,csm_expansion,38,
A0335,Parallel Labs,2023,2025-Q1,2024-12-16,2025-02-14,APAC,Retail,Security,expand,won,3,95000,285000,sales_outbound,30.7,
A0125,Cobalt Grid,2022,2025-Q1,2024-08-11,2025-01-13,EMEA,Manufacturing,Security,expand,won,3,54000,162000,inbound,55.1,
A0355,Aurora Cloud Inc,2021,2025-Q1,2024-06-18,2025-01-09,EMEA,Retail,Analytics,expand,won,4,53000,212000,sales_outbound,66.6,
A0406,Parallel Dynamics,2021,2025-Q1,2024-11-24,2025-03-29,AMER,Manufacturing,Analytics,expand,won,5,119000,595000,partner,68.2,
A0564,Aurora Cloud Inc,2023,2025-Q1,2024-11-23,2025-03-25,EMEA,Retail,Platform,expand,won,3,111000,333000,inbound,44.2,
A0199,Aurora Dynamics,2023,2025-Q1,2024-10-13,2025-03-20,EMEA,Healthcare,Security,expand,won,3,38000,114000,sales_outbound,57.9,
A0168,Silverline Logic,2022,2025-Q1,2024-07-18,2025-02-02,EMEA,Manufacturing,Platform,expand,won,3,45000,135000,inbound,24.1,
A0174,Pinnacle Labs Inc,2022,2025-Q1,2024-05-14,2025-01-12,AMER,Retail,Platform,expand,won,3,227000,681000,inbound,57.7,
A0098,Northwind Logic Inc,2023,2025-Q1,2024-11-29,2025-03-05,APAC,Technology,Security,expand,won,2,22000,44000,sales_outbound,41.1,
A0162,Meridian Labs,2023,2025-Q1,2024-07-10,2025-01-11,APAC,Professional Services,Analytics,expand,won,2,256000,512000,inbound,9.9,
A0293,Silverline Grid Inc,2024,2025-Q1,2024-09-25,2025-03-22,EMEA,Retail,Platform,expand,won,1,29000,29000,csm_expansion,72.6,
A0323,Cobalt Bridge Inc,2022,2025-Q1,2024-08-28,2025-01-29,APAC,Financial Services,Security,expand,won,3,23000,69000,inbound,51.6,
A0256,Granite Logic,2023,2025-Q1,2024-07-28,2025-02-09,APAC,Financial Services,Security,expand,won,2,14000,28000,inbound,33.8,
A0576,Northwind Cloud,2022,2025-Q1,2025-02-01,2025-03-14,EMEA,Healthcare,Analytics,expand,won,3,13000,39000,inbound,52.4,
A0063,Vertex Logic Inc,2020,2025-Q1,2024-11-10,2025-02-26,APAC,Retail,Security,expand,won,5,52000,260000,inbound,62.8,
A0420,Granite Systems,2022,2025-Q1,2024-08-08,2025-03-15,AMER,Manufacturing,Security,expand,won,3,283000,849000,partner,71.5,
A0568,Vertex Logic,2022,2025-Q1,2024-10-15,2025-03-20,APAC,Manufacturing,Security,expand,won,3,40000,120000,inbound,51.8,
A0160,BluePeak Logic,2022,2025-Q1,2024-10-27,2025-02-11,AMER,Professional Services,Analytics,expand,won,3,159000,477000,inbound,28.2,
A0575,BluePeak Labs Inc,2022,2025-Q1,2024-09-28,2025-02-04,APAC,Healthcare,Platform,expand,won,3,246000,738000,csm_expansion,26.5,
A0477,Northwind Bridge Inc,2022,2025-Q1,2024-06-17,2025-02-27,APAC,Professional Services,Platform,expand,won,3,51000,153000,inbound,40.1,
A0355,Aurora Cloud Inc,2021,2025-Q1,2024-08-18,2025-02-11,EMEA,Retail,Analytics,expand,won,4,88000,352000,partner,33,
A0176,Vertex Bridge,2023,2025-Q1,2024-05-25,2025-02-07,APAC,Professional Services,Platform,expand,won,3,18000,54000,csm_expansion,27.4,
A0441,Cobalt Dynamics,2022,2025-Q1,2024-07-09,2025-03-11,EMEA,Manufacturing,Platform,expand,won,3,189000,567000,partner,49.2,
A0355,Aurora Cloud Inc,2021,2025-Q1,2024-08-16,2025-01-12,EMEA,Retail,Analytics,expand,won,4,230000,920000,inbound,49.5,
A0627,Pinnacle Cloud,2021,2025-Q1,2024-08-16,2025-01-19,AMER,Retail,Platform,land,won,4,19000,76000,event,37.6,
A0628,Pinnacle Logic,2022,2025-Q1,2024-08-07,2025-03-17,APAC,Healthcare,Security,land,won,3,114000,342000,inbound,24.8,
A0629,BluePeak Cloud Inc,2023,2025-Q1,2024-08-22,2025-01-31,EMEA,Manufacturing,Platform,land,won,2,300000,600000,csm_expansion,66.5,
A0630,Silverline Cloud,2022,2025-Q1,2024-11-15,2025-03-18,AMER,Healthcare,Platform,land,won,3,24000,72000,partner,59.8,
A0631,Pinnacle Bridge Inc,2022,2025-Q1,2024-08-20,2025-01-14,APAC,Manufacturing,Security,land,won,3,179000,537000,inbound,43,
A0632,Northwind Dynamics Inc,2022,2025-Q1,2024-06-01,2025-03-07,AMER,Manufacturing,Analytics,land,won,3,63000,189000,partner,40.4,
A0633,Silverline Works Inc,2022,2025-Q1,2024-09-08,2025-03-09,AMER,Healthcare,Analytics,land,won,3,189000,567000,sales_outbound,43.7,
A0634,Northwind Cloud,2024,2025-Q1,2024-08-13,2025-01-19,AMER,Retail,Platform,land,won,1,256000,256000,sales_outbound,64.2,
A0635,Northwind Systems,2022,2025-Q1,2024-08-20,2025-03-31,AMER,Professional Services,Platform,land,won,3,14000,42000,csm_expansion,40.6,
A0636,Granite Grid,2022,2025-Q1,2024-09-01,2025-03-26,AMER,Manufacturing,Platform,land,won,3,40000,120000,partner,56.7,
A0637,Northwind Bridge Inc,2022,2025-Q1,2024-07-03,2025-03-03,AMER,Manufacturing,Security,land,won,3,13000,39000,sales_outbound,63.2,
A0638,Meridian Dynamics Inc,2022,2025-Q1,2024-12-06,2025-01-08,EMEA,Technology,Security,land,won,3,41000,123000,event,26.8,
A0639,Granite Logic,2022,2025-Q1,2024-07-10,2025-01-16,APAC,Financial Services,Platform,land,won,3,76000,228000,sales_outbound,47.8,
A0640,Aurora Labs Inc,2021,2025-Q1,2024-11-21,2025-03-15,APAC,Professional Services,Platform,land,won,4,59000,236000,partner,30,
A0641,Aurora Bridge,2022,2025-Q1,2024-06-28,2025-03-07,APAC,Healthcare,Security,land,won,3,106000,318000,inbound,71.6,
A0642,Aurora Systems Inc,2024,2025-Q1,2024-08-01,2025-01-14,EMEA,Manufacturing,Security,land,won,1,87000,87000,sales_outbound,34,
A0643,Meridian Dynamics,2022,2025-Q1,2024-12-18,2025-03-20,APAC,Technology,Platform,land,won,3,134000,402000,sales_outbound,62.8,
A0644,Meridian Works,2022,2025-Q1,2024-06-08,2025-03-31,APAC,Professional Services,Analytics,land,won,3,71000,213000,sales_outbound,44.2,
A0645,Parallel Logic Inc,2022,2025-Q1,2024-10-10,2025-03-16,EMEA,Technology,Analytics,land,won,3,27000,81000,csm_expansion,62,
A0646,BluePeak Works,2022,2025-Q1,2024-09-29,2025-02-03,AMER,Professional Services,Security,land,won,3,298000,894000,partner,35.1,
A0647,Pinnacle Bridge,2024,2025-Q1,2024-06-16,2025-01-12,APAC,Manufacturing,Platform,land,won,1,168000,168000,inbound,55.3,
A0648,Northwind Systems Inc,2022,2025-Q1,2024-08-18,2025-03-30,EMEA,Technology,Analytics,land,won,3,14000,42000,sales_outbound,46.8,
A0649,Silverline Logic,2022,2025-Q1,2024-07-12,2025-01-13,APAC,Manufacturing,Analytics,land,won,3,74000,222000,csm_expansion,13,
A0650,Aurora Systems,2023,2025-Q1,2024-07-17,2025-01-12,APAC,Manufacturing,Platform,land,won,2,14000,28000,inbound,60.8,
A0651,Silverline Labs,2022,2025-Q1,2024-06-11,2025-01-19,APAC,Retail,Security,land,won,3,19000,57000,csm_expansion,45.3,
A0652,Northwind Dynamics,2022,2025-Q1,2024-05-10,2025-02-13,AMER,Retail,Analytics,land,won,3,125000,375000,csm_expansion,42.9,
A0653,Vertex Works,2022,2025-Q1,2024-06-10,2025-01-08,APAC,Healthcare,Security,land,won,3,200000,600000,partner,57.4,
