account_id,account_name,renewal_quarter,region,contract_term_years,last_deal_year,arr_up_for_renewal_usd,outcome,loss_reason,booked_arr_usd,renewal_motion
A0008,BluePeak Dynamics,2025-Q1,APAC,3,2022,60000,renewed,,146000,expansion
A0030,Meridian Works Inc,2025-Q1,APAC,3,2022,412000,churned,Adoption — low usage or failed rollout,0,
A0048,Northwind Works Inc,2025-Q1,AMER,3,2022,208000,renewed,,495000,expansion
A0051,Granite Logic,2025-Q1,EMEA,3,2022,514000,renewed,,1241000,expansion
A0053,Cobalt Grid Inc,2025-Q1,APAC,1,2024,110000,renewed,,176000,expansion
A0056,Granite Cloud Inc,2025-Q1,APAC,3,2022,213000,renewed,,322000,expansion
A0058,Vertex Logic,2025-Q1,EMEA,3,2022,49000,renewed,,79000,expansion
A0074,BluePeak Works,2025-Q1,EMEA,3,2022,293000,renewed,,844000,expansion
A0078,Aurora Labs,2025-Q1,APAC,3,2022,389000,renewed,,466000,expansion
A0086,Parallel Grid,2025-Q1,APAC,3,2022,390000,renewed,,402000,expansion
A0092,BluePeak Logic,2025-Q1,EMEA,3,2022,413000,renewed,,414000,flat
A0102,Granite Dynamics,2025-Q1,APAC,3,2022,244000,renewed,,259000,expansion
A0111,Vertex Systems Inc,2025-Q1,APAC,3,2022,104000,renewed,,181000,expansion
A0119,Pinnacle Cloud,2025-Q1,APAC,3,2022,31000,renewed,,31000,flat
A0129,Vertex Works Inc,2025-Q1,EMEA,3,2022,129000,renewed,,162000,expansion
A0130,Vertex Works Inc,2025-Q1,APAC,3,2022,68000,renewed,,182000,expansion
A0131,Silverline Systems,2025-Q1,APAC,3,2022,421000,renewed,,449000,expansion
A0136,Cobalt Labs Inc,2025-Q1,APAC,3,2022,220000,renewed,,223000,flat
A0140,Northwind Grid,2025-Q1,EMEA,3,2022,388000,renewed,,653000,expansion
A0148,Northwind Grid,2025-Q1,EMEA,3,2022,81000,churned,Product — capability or roadmap gap,0,
A0161,Aurora Cloud,2025-Q1,APAC,5,2020,507000,renewed,,805000,expansion
A0163,Silverline Bridge Inc,2025-Q1,EMEA,4,2021,141000,renewed,,155000,expansion
A0169,Vertex Works,2025-Q1,AMER,3,2022,390000,renewed,,449000,expansion
A0175,Silverline Dynamics,2025-Q1,APAC,3,2022,512000,renewed,,876000,expansion
A0179,Cobalt Logic,2025-Q1,APAC,2,2023,344000,renewed,,672000,expansion
A0184,Meridian Cloud Inc,2025-Q1,AMER,3,2022,234000,renewed,,284000,expansion
A0189,Northwind Labs,2025-Q1,EMEA,3,2022,264000,renewed,,581000,expansion
A0191,Parallel Grid Inc,2025-Q1,EMEA,3,2022,191000,renewed,,192000,flat
A0192,BluePeak Dynamics,2025-Q1,EMEA,4,2021,520000,renewed,,520000,flat
A0196,Vertex Cloud Inc,2025-Q1,AMER,3,2022,67000,renewed,,94000,expansion
A0198,BluePeak Grid Inc,2025-Q1,APAC,3,2022,196000,renewed,,271000,expansion
A0201,BluePeak Dynamics Inc,2025-Q1,AMER,3,2022,25000,renewed,,46000,expansion
A0206,Aurora Systems Inc,2025-Q1,AMER,5,2020,320000,renewed,,359000,expansion
A0218,Granite Cloud Inc,2025-Q1,AMER,4,2021,349000,renewed,,1023000,expansion
A0225,Parallel Bridge,2025-Q1,AMER,3,2022,33000,renewed,,92000,expansion
A0228,Vertex Logic,2025-Q1,APAC,2,2023,55000,churned,Pricing — rejected renewal uplift,0,
A0235,Pinnacle Works Inc,2025-Q1,AMER,4,2021,477000,churned,Risk — security or compliance,0,
A0240,Parallel Labs Inc,2025-Q1,AMER,3,2022,58000,renewed,,152000,expansion
A0244,Parallel Cloud Inc,2025-Q1,APAC,3,2022,99000,renewed,,99000,flat
A0248,Aurora Bridge,2025-Q1,EMEA,3,2022,55000,renewed,,157000,expansion
A0251,Vertex Systems,2025-Q1,EMEA,3,2022,53000,renewed,,54000,flat
A0268,Silverline Cloud,2025-Q1,AMER,3,2022,101000,renewed,,131000,expansion
A0270,Silverline Bridge Inc,2025-Q1,AMER,3,2022,158000,renewed,,197000,expansion
A0280,Granite Works,2025-Q1,AMER,3,2022,230000,renewed,,230000,flat
A0284,Silverline Works Inc,2025-Q1,APAC,1,2024,79000,churned,Adoption — low usage or failed rollout,0,
A0294,Meridian Bridge Inc,2025-Q1,APAC,3,2022,417000,renewed,,584000,expansion
A0296,BluePeak Cloud Inc,2025-Q1,EMEA,2,2023,27000,churned,Timing — deprioritized / no decision,0,
A0297,Silverline Works Inc,2025-Q1,APAC,3,2022,72000,renewed,,119000,expansion
A0320,Meridian Works Inc,2025-Q1,APAC,3,2022,155000,renewed,,428000,expansion
A0323,Cobalt Bridge Inc,2025-Q1,APAC,3,2022,476000,renewed,,496000,expansion
A0327,Northwind Systems,2025-Q1,AMER,3,2022,400000,renewed,,1118000,expansion
A0342,Silverline Grid Inc,2025-Q1,AMER,3,2022,208000,renewed,,221000,expansion
A0343,Meridian Grid Inc,2025-Q1,EMEA,3,2022,479000,renewed,,502000,expansion
A0345,Silverline Bridge,2025-Q1,AMER,5,2020,118000,renewed,,152000,expansion
A0349,Silverline Bridge Inc,2025-Q1,EMEA,3,2022,514000,renewed,,1386000,expansion
A0352,Parallel Grid,2025-Q1,APAC,3,2022,183000,renewed,,195000,expansion
A0369,Aurora Dynamics,2025-Q1,APAC,3,2022,258000,renewed,,561000,expansion
A0386,Pinnacle Grid Inc,2025-Q1,EMEA,3,2022,223000,renewed,,226000,flat
A0391,Cobalt Logic Inc,2025-Q1,EMEA,3,2022,469000,renewed,,1290000,expansion
A0399,Pinnacle Systems Inc,2025-Q1,AMER,3,2022,225000,renewed,,345000,expansion
A0405,BluePeak Systems,2025-Q1,EMEA,3,2022,26000,renewed,,53000,expansion
A0419,Northwind Cloud,2025-Q1,APAC,3,2022,100000,renewed,,105000,expansion
A0420,Granite Systems,2025-Q1,AMER,3,2022,67000,renewed,,67000,flat
A0421,Aurora Systems,2025-Q1,AMER,3,2022,509000,renewed,,1257000,expansion
A0436,Granite Systems Inc,2025-Q1,AMER,3,2022,272000,renewed,,697000,expansion
A0441,Cobalt Dynamics,2025-Q1,EMEA,3,2022,410000,renewed,,498000,expansion
