account_id,fiscal_quarter,arr_usd
A0001,2025-Q1,101000
A0001,2025-Q2,101000
A0001,2025-Q3,106000
A0001,2025-Q4,106000
A0001,2026-Q1,106000
A0002,2025-Q1,222000
A0002,2025-Q2,534000
A0002,2025-Q3,534000
A0002,2025-Q4,534000
A0002,2026-Q1,534000
A0003,2025-Q1,126000
A0003,2025-Q2,237000
A0003,2025-Q3,237000
A0003,2025-Q4,237000
A0003,2026-Q1,237000
A0004,2025-Q1,12000
A0004,2025-Q2,0
A0005,2025-Q1,12000
A0005,2025-Q2,12000
A0005,2025-Q3,18000
A0005,2025-Q4,18000
A0005,2026-Q1,18000
A0006,2025-Q1,81000
A0006,2025-Q2,93000
A0006,2025-Q3,93000
A0006,2025-Q4,93000
A0006,2026-Q1,93000
A0007,2025-Q1,137000
A0007,2025-Q2,351000
A0007,2025-Q3,351000
A0007,2025-Q4,351000
A0007,2026-Q1,351000
A0008,2025-Q1,73000
A0008,2025-Q2,73000
A0008,2025-Q3,73000
A0008,2025-Q4,73000
A0008,2026-Q1,73000
A0009,2025-Q1,288000
A0009,2025-Q2,288000
A0009,2025-Q3,288000
A0009,2025-Q4,288000
A0009,2026-Q1,636000
A0010,2025-Q1,21000
A0010,2025-Q2,21000
A0010,2025-Q3,21000
A0010,2025-Q4,21000
A0010,2026-Q1,21000
A0011,2025-Q1,229000
A0011,2025-Q2,229000
A0011,2025-Q3,229000
A0011,2025-Q4,640000
A0011,2026-Q1,640000
A0012,2025-Q1,111000
A0012,2025-Q2,111000
A0012,2025-Q3,40000
A0012,2025-Q4,40000
A0012,2026-Q1,40000
A0013,2025-Q1,236000
A0013,2025-Q2,236000
A0013,2025-Q3,391000
A0013,2025-Q4,391000
A0013,2026-Q1,391000
A0014,2025-Q1,165000
A0014,2025-Q2,165000
A0014,2025-Q3,165000
A0014,2025-Q4,355000
A0014,2026-Q1,355000
A0015,2025-Q1,226000
A0015,2025-Q2,226000
A0015,2025-Q3,226000
A0015,2025-Q4,313000
A0015,2026-Q1,313000
A0016,2025-Q1,49000
A0016,2025-Q2,49000
A0016,2025-Q3,49000
A0016,2025-Q4,62000
A0016,2026-Q1,62000
A0017,2025-Q1,20000
A0017,2025-Q2,20000
A0017,2025-Q3,20000
A0017,2025-Q4,20000
A0017,2026-Q1,144000
A0018,2025-Q1,132000
A0018,2025-Q2,110000
A0018,2025-Q3,110000
A0018,2025-Q4,110000
A0018,2026-Q1,110000
A0019,2025-Q1,224000
A0019,2025-Q2,347000
A0019,2025-Q3,347000
A0019,2025-Q4,347000
A0019,2026-Q1,514000
A0020,2025-Q1,61000
A0020,2025-Q2,61000
A0020,2025-Q3,144000
A0020,2025-Q4,144000
A0020,2026-Q1,144000
A0021,2025-Q1,31000
A0021,2025-Q2,33000
A0021,2025-Q3,33000
A0021,2025-Q4,33000
A0021,2026-Q1,33000
A0022,2025-Q1,158000
A0022,2025-Q2,158000
A0022,2025-Q3,158000
A0022,2025-Q4,269000
A0022,2026-Q1,269000
A0023,2025-Q1,555000
A0023,2025-Q2,555000
A0023,2025-Q3,555000
A0023,2025-Q4,555000
A0023,2026-Q1,464000
A0024,2025-Q1,45000
A0024,2025-Q2,45000
A0024,2025-Q3,45000
A0024,2025-Q4,46000
A0024,2026-Q1,46000
A0025,2025-Q1,54000
A0025,2025-Q2,94000
A0025,2025-Q3,94000
A0025,2025-Q4,94000
A0025,2026-Q1,94000
A0026,2025-Q1,120000
A0026,2025-Q2,120000
A0026,2025-Q3,133000
A0026,2025-Q4,133000
A0026,2026-Q1,0
A0027,2025-Q1,33000
A0027,2025-Q2,33000
A0027,2025-Q3,33000
A0027,2025-Q4,62000
A0027,2026-Q1,62000
A0028,2025-Q1,12000
A0028,2025-Q2,12000
A0028,2025-Q3,12000
A0028,2025-Q4,12000
A0028,2026-Q1,27000
A0029,2025-Q1,235000
A0029,2025-Q2,235000
A0029,2025-Q3,235000
A0029,2025-Q4,235000
A0029,2026-Q1,332000
A0030,2025-Q1,491000
A0030,2025-Q2,491000
A0030,2025-Q3,491000
A0030,2025-Q4,491000
A0030,2026-Q1,504000
A0031,2025-Q1,31000
A0031,2025-Q2,54000
A0031,2025-Q3,54000
A0031,2025-Q4,54000
A0031,2026-Q1,54000
A0032,2025-Q1,444000
A0032,2025-Q2,444000
A0032,2025-Q3,444000
A0032,2025-Q4,444000
A0032,2026-Q1,256000
A0033,2025-Q1,147000
A0033,2025-Q2,147000
A0033,2025-Q3,147000
A0033,2025-Q4,147000
A0033,2026-Q1,390000
A0034,2025-Q1,211000
A0034,2025-Q2,364000
A0034,2025-Q3,364000
A0034,2025-Q4,364000
