account_id,fiscal_quarter,csat_score,nps_score
A0001,2025-Q1,4,16
A0001,2025-Q2,4,19
A0001,2025-Q3,4,51
A0001,2025-Q4,4,33
A0001,2026-Q1,4,54
A0002,2025-Q1,3,-6
A0002,2025-Q2,3,16
A0002,2025-Q3,3,-10
A0002,2025-Q4,4,47
A0002,2026-Q1,4,46
A0003,2025-Q1,4,51
A0003,2025-Q2,3,-9
A0003,2025-Q3,4,35
A0003,2025-Q4,5,72
A0003,2026-Q1,4,24
A0004,2025-Q1,4,24
A0004,2025-Q2,4,20
A0004,2025-Q3,4,22
A0004,2025-Q4,4,41
A0004,2026-Q1,4,54
A0005,2025-Q1,4,52
A0005,2025-Q2,3,12
A0005,2025-Q3,4,51
A0005,2025-Q4,4,52
A0005,2026-Q1,3,20
A0006,2025-Q1,3,-18
A0006,2025-Q2,2,-40
A0006,2025-Q3,4,55
A0006,2025-Q4,2,-55
A0006,2026-Q1,4,30
A0007,2025-Q1,3,2
A0007,2025-Q2,3,-21
A0007,2025-Q3,4,43
A0007,2025-Q4,4,38
A0007,2026-Q1,3,-3
A0008,2025-Q1,4,14
A0008,2025-Q2,4,44
A0008,2025-Q3,4,29
A0008,2025-Q4,4,36
A0008,2026-Q1,3,-8
A0009,2025-Q1,4,13
A0009,2025-Q2,4,30
A0009,2025-Q3,3,21
A0009,2025-Q4,3,-9
A0009,2026-Q1,2,-24
A0010,2025-Q1,3,-9
A0010,2025-Q2,4,51
A0010,2025-Q3,4,19
A0010,2025-Q4,2,-46
A0010,2026-Q1,4,28
A0011,2025-Q1,4,21
A0011,2025-Q2,4,47
A0011,2025-Q3,4,31
A0011,2025-Q4,4,36
A0011,2026-Q1,2,-24
A0012,2025-Q1,3,-11
A0012,2025-Q2,3,-2
A0012,2025-Q3,2,-15
A0013,2025-Q1,4,50
A0013,2025-Q2,3,17
A0013,2025-Q3,4,57
A0013,2025-Q4,4,48
A0013,2026-Q1,4,35
A0014,2025-Q1,5,49
A0014,2025-Q2,3,14
A0014,2025-Q3,5,57
A0014,2025-Q4,3,0
A0014,2026-Q1,3,3
A0015,2025-Q1,4,50
A0015,2025-Q2,3,-20
A0015,2025-Q3,4,55
A0015,2025-Q4,4,47
